Movie,Years,Duration,Genre,Rating,,Actor_1,Actor_2,Actor_3,Actor_4
Bhoot Junction,2018,,Horror,,,Niranjan Kumar Sharma,Raj,,
Bhootwali Love Story,2018,109 min,Comedy,,,Shantanu Anant Tambe,Tushar Acharya,Kanchan Awasthi,Laxman Dawbhat
Bhor: Dawn,2018,93 min,Drama,7.8,147,Kamakhya Narayan Singh,Devesh Ranjan,Saveree Gaur,Nalneesh Neel
Bhu Mafia,2018,,Drama,,,Sanjay Srivastav,Ramesh Yadav,Devdutt Budholiya,Mohini Gupta
Billu Ustaad,2018,138 min,Drama,6.9,26,Suvahhdan Angre,Neel Bakshi,Sneha Arun,Abhishek Bardia
Birha,2018,81 min,Documentary,,,Ekta Mittal,,,
Blackmail,2018,138 min,"Comedy, Thriller",7.1,"9,671",Abhinay Deo,Irrfan Khan,Kirti Kulhari,Urmila Matondkar
Bombay Summer,2018,,"Adventure, Romance",,,Ranjeet Kumar,Sachin Kumar Meena,,
Boyfriend.com,2018,,Drama,,,Robin Chourasia,Deepti,Ajay Kumar,Swapna Pati
Boys Who Like Girls,2018,68 min,Documentary,6.9,19,Inka Achté,Aspar Husain,Vedprakash Jaiswal,Harish Sadani
Breaking All the Way,2018,,Documentary,,,Sunita Malpani,Bboy NeverMind,Bboy Hardluck,Bgirl ShawtyPink
Breakup,2018,,Romance,,,Munna Rizvi,Sahil Akhtar,Kuwar Aziz,Sheetal Kale
"Brother, Superhit!",2018,139 min,"Action, Comedy, Drama",3.9,554,Neeraj Pathak,Sunny Deol,Preity Zinta,Arshad Warsi
Bulbul Can Sing,2018,95 min,Drama,6.8,323,Rima Das,Pakija Begam,Arnali Das,Manabendra Das
But What Was She Wearing?,2018,110 min,Documentary,,,Vaishnavi Sundar,,,
Cant Stay Down,2018,,Sport,,,Safura Ubaid,,,
Chal Jaa Bapu,2018,130 min,"Comedy, Drama, Family",,,Dedipya Joshii,Hrishitaa Bhatt,Radha Bhatt,Dev Chauhan
Chameli,2018,102 min,Drama,,,Aaryaan Saxena,Sherlyn Chopra,Avinash Dwivedi,Brijendra Kala
Chausar,2018,85 min,Drama,6.4,82,Sagar Sarhadi,Sanjeev Giriwer,Nawazuddin Siddiqui,Amruta Subhash
Chhappan Bhai,2018,98 min,Comedy,,,Arjun Mahadev Vriti,Noushad Ullah,Mon,Raj
Chhattisgarh - A Numismatic History,2018,,History,,,Bhanu Pratap Singh,Prachi Desai,Aaditya Pratap Singh,Bhanu Pratap Singh
Chhe: Six,2018,102 min,"Horror, Thriller",,,Dilip Sood,,,
Chholyar,2018,92 min,Drama,,,Kamal Mehta,Deva Dhami,Manzoor Hussain,Mithilesh Pande
Chidi Balla,2018,112 min,"Comedy, Drama, Family",6.4,12,Radheshyam Pipalwa,Chetan Sharma,Mayur More,Abhimanyu Singh
Chirkut Chandan Ki Anokhi Prem Kahani,2018,90 min,Romance,,,Rahul Deo Verma,Mradula Chauhan,Sadhna Chauhan,Harsh Dwivedi
Chitrakut,2018,,Drama,,,Himanshu Malik,Auritra Ghosh,Vibhore Mayank,Naina Trivedi
Chor Nikal Ke Bhaaga,2018,,Crime,,,,,,
Colour photo,2018,,Comedy,8.7,21,Aziz Naser,Gullu Dada,Shahbaz Khan,Aziz Naser
Compromise,2018,,Drama,,,Suresh Chauhan,Rock Mahi,,
Connecting the Dots,2018,60 min,Documentary,,,Piyush Pande,,,
Crossing the river of life,2018,55 min,Documentary,,,Mallika Sothinathan,,,
Daas Dev,2018,140 min,"Drama, Thriller",5.1,257,Sudhir Mishra,Yogesh Raj Mishra,Rahul Bhatt,Richa Chadha
Dabang Sarkar,2018,,Action,4.2,18,Yogesh Raj Mishra,Akanksha Awasthi,C P Bhatt,Samarth Chaturvedi
Danger,2018,,"Horror, Thriller",,,Faisal Saif,Asif Basra,Sony Charishta,Faisal Khan
Dansh,2018,85 min,Drama,8.3,9,Balmukund Tripathi,Abhishek Brahmachari,Ajay Dubey,Harsh Gupta
Dassehra,2018,131 min,"Action, Thriller",3.8,316,Manish Vatssalya,Saurabh Choudhary,Neil Nitin Mukesh,Tina Desai
De Ijaazat Rahun Tujhme,2018,,Thriller,,,Awani Agrawal,Rajpal Yadav,Rajeev Vashishth,Sourav Chakraborty
Dear Molly,2018,91 min,Drama,7.8,10,Gajendra Ahire,Alok Rajwade,Mrinmayee Godbole,Gurbani Gill
Decoding Shankar,2018,52 min,"Documentary, Music",,,Deepti Pillay Sivan,Javed Akhtar,Amitabh Bachchan,Shreya Ghoshal
Delhi 47 KM,2018,98 min,Drama,5.9,24,Shadab Khan,Shadab Khan,Shadab Khan,Shadab Khan
Delhi Bus,2018,,Thriller,,,Sharique Minhaj,Neelima Azim,Azad Hussain,Reyna Vashishtha
Delhi Mere Baap Ki,2018,,,,,Shashi Pal,,,
Dhaad,2018,135 min,Action,5.5,13,Paresh Naik,Sameera Awasthi,Nandita Das,Sandeep Kulkarni
Dhadak,2018,138 min,"Drama, Romance",4.5,"9,399",Shashank Khaitan,Janhvi Kapoor,Ishaan Khattar,Ashutosh Rana
Dhappa (Hindi),2018,,Crime,,,Siddharth Nagar,Varsha Manikchand Shrivastav,Vishal Anand,Jaya Bhattacharya
Dil Juunglee,2018,124 min,"Comedy, Romance",3.7,417,Aleya Sen,Taapsee Pannu,Saqib Saleem,Nidhi Singh
Dil Maane Na,2018,,Romance,,,Sumeet Chawla,Bikramjeet Kanwarpal,Ramandeep Kaur,Ibra Khan
Dirty Mind,2018,65 min,Drama,,,Raj,Mamta Nigam,Pramod,Rekha
Do Writers ki Maut,2018,93 min,Comedy,,,Tarun Raj,Dibyendu Bhattacharya,Taranjit Kaur,Priyanka Nath
Dobaara,2018,66 min,"Drama, Romance",6.9,59,Bejoy Nambiar,Manav Kaul,Parvathy Omanakuttan,
Downup the Exit 796,2018,102 min,Thriller,8.2,37,Jaimin Bal,Rajesh Desai,Ruchika Dhankhar,Aniket Dhawalshankh
Ek Aasha,2018,123 min,Drama,7.8,10,Mayur Katariya,Disha Yadav,Annu Akade,Vijya Laxmi
Ek Kassh,2018,52 min,"Drama, Sci-Fi",,,Anugrah Agnihotri,Anugrah Agnihotri,Bhushan Chhabra,Vijender Gotshe
Ek Ke Upar Do,2018,120 min,"Comedy, Romance",,,S.R. Pratap,Sheetal Kale,Girjesh Patel,Ashish Drall
Ek Tha Hero,2018,120 min,"Drama, Family",4,5,Yogesh Pagare,Asrani,Ashwini Kalsekar,Ayush Mahesh Khedekar
Ekkees Tareekh Shubh Muhurat,2018,97 min,Drama,5.7,394,Pavan Kumar,Sanjay Mishra,Mahesh Sharma,Kajal Jain
Evening Shadows,2018,102 min,Drama,7.1,472,Sridhar Rangayan,Mona Ambegaonkar,Ananth Narayan Mahadevan,Devansh Doshi
Firautibaaz,2018,,Thriller,,,Abhinav Nirala,Kumud Mishra,Kajal Chauhan,Gulshan Pandey
Friends In Law,2018,85 min,Comedy,6.8,48,Amit Khanna,Shreedevi Chowdary,Ashlin Harris,Amiran Winter
FryDay,2018,114 min,"Comedy, Drama",5.2,783,Abhishek Dogra,Govinda,Digangana Suryavanshi,Varun Sharma
Game Paisa Ladki,2018,107 min,Drama,5.8,8,Sachin Agarwal,Ishteyak Arif,Deepans Garge,Ashraf Ul Haq
Gaon,2018,124 min,Drama,5.3,106,Gautam Singh,Shadab Kamal,Neha Mahajan,Dibyendu Bhattacharya
Garbage,2018,105 min,"Drama, Thriller",3.4,950,Qaushiq Mukherjee,Tanmay Dhanania,Trimala Adhikari,Satarupa Das
Genius,2018,165 min,"Action, Thriller",5.3,"1,823",Anil Sharma,Utkarsh Sharma,Ishita Chauhan,Mithun Chakraborty
Ghar ka Raakshas by Deep Jyoti,2018,,Comedy,,,Ranjan Mistry,Deep Jyoti,,
Goatbait,2018,,Drama,,,Nikhil Bose,Prashansa Sharma,Vikas Rawat,Lakshyraj Rathod
GOLD,2018,151 min,"Drama, History, Sport",7.3,"11,932",Reema Kagti,Akshay Kumar,Mouni Roy,Kunal Kapoor
Good Morning Sunshine,2018,,Drama,,,Sanjoy Nag,Shabana Azmi,Priyanka Bharti,Harsh Chhaya
Guru ji: Ahead of time,2018,,Biography,,,Sudipto Sen,,,
Halkaa,2018,114 min,"Drama, Family",7.2,378,Nila Madhab Panda,Ranvir Shorey,Paoli Dam,Aryan Preet
Hamara Tiranga,2018,118 min,"Adventure, Drama, History",7.5,8,Sajeev Balath,Rahul Dev,Harry Key,Thomas Munro
Hamari paltan,2018,100 min,Drama,,,Jainendra Jigyasu,Tom Alter,Manoj Bakshi,
Hamid,2018,108 min,Drama,7.8,"1,055",Aijaz Khan,Talha Arshad Reshi,Vikas Kumar,Rasika Dugal
Hanuman vs. Mahiravana,2018,91 min,Animation,6.9,103,Ezhil Vendan,Rajesh Jolly,,
Happy Phirr Bhag Jayegi,2018,136 min,Comedy,4.5,"1,251",Mudassar Aziz,Sonakshi Sinha,Diana Penty,Jimmy Sheirgill
Har Kisse Ke Hisse: Kaamyaab,2018,109 min,Drama,7.9,"3,781",Hardik Mehta,Sanjay Mishra,Deepak Dobriyal,Sarika Singh
Haseena,2018,135 min,Comedy,4.4,92,Vicky Ranawat,Garima Agarwal,Mohit Arora,Inayat Sharma
Hate Story IV,2018,131 min,"Crime, Drama, Thriller",3.3,"1,470",Vishal Pandya,Urvashi Rautela,Gulshan Grover,Ihana Dhillon
Helicopter Eela,2018,135 min,Drama,5.6,"1,042",Pradeep Sarkar,Kajol,Riddhi Sen,Tota Roy Chowdhury
Heritage of Thrall,2018,94 min,Documentary,,,Pragyesh Singh,Premila Pavmani,Buddhadeb Bhattacharya,Ganguly Reshmi Bhattacharya
Hey Ram Hamne Gandhi Ko maar Diya,2018,106 min,Drama,6.3,166,Naeem Siddiqui,Jatin Goswami,Samiksha Bhatnagar,Subrat Dutta
Hichki,2018,116 min,"Comedy, Drama",7.5,"11,094",Siddharth Malhotra,Asif Basra,Rani Mukerji,Neeraj Kabi
High Jack,2018,102 min,Comedy,5.4,303,Akarsh Khurana,Sumeet Vyas,Mantra Mugdh,Sonnalli Seygall
His Memoir,2018,50 min,"Action, Drama, Thriller",,,Prashast Singh,Prashast Singh,,
Honey Bunny in Kung Fu Challenge,2018,50 min,Action,,,Vijay Roche,Deepak Nair,Dolly Lopes,Meena Nahata
Hope Aur Hum,2018,96 min,"Comedy, Drama, Family",6.3,414,Sudip Bandyopadhyay,Naseeruddin Shah,Kabir Sajid,Virti Vaghani
Hostel Girl's,2018,,Crime,,,Rajesh Kamalwar,Ujala Baboria,Shifu Chaudhary,Jessica Chauhan
Hotel Milan,2018,130 min,"Comedy, Drama",3.8,78,Vishal Mishra,Kunaal Roy Kapur,Karishma Sharma,Zeishan Quadri
Hotel Mumbai,2018,123 min,"Action, Drama, History",7.6,"56,048",Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi
Hume Jeene Do,2018,52 min,Drama,,,Anugrah Agnihotri,Anugrah Agnihotri,Rahmat Ali,Shiv Kumar
Husband Material,2018,156 min,"Comedy, Drama, Romance",6.9,"7,441",Anurag Kashyap,Taapsee Pannu,Abhishek Bachchan,Vicky Kaushal
I Am Not a Begger,2018,120 min,Drama,,,Vijay Pal,Aditya Sharma,Paris Keswani,Ehsan Khan
I Am Roshni,2018,80 min,"Drama, Family, Romance",5.4,11,Manoj J. Bhatia,Suresh Thomas,Ankita Parihar,Yash Rajpara
Idam Jagath,2018,126 min,"Action, Thriller",5.4,115,Anil Srikantam,Sumanth,Anju Kurian,Darbha Appaji Ambarisha
If She Built a Country,2018,59 min,Documentary,,,Maheen Mirza,,,
Ilaaka Kishorganj,2018,,"Action, Thriller",5.9,18,J. Nutan Punkaj,Rohit R.K.,Shikha Swaroop,Deepak Lohar
Indian Never Again Nirbhaya,2018,,Drama,6.5,27,Bidisha Adhikari,Kanchan Adhikari,Payal Kaashyap,Riecha Sharma
Inspector Gullu,2018,124 min,Action,6.8,32,Aziz Naser,Habib Al Aidroos,Adnan Sajid Khan,R.K. Mama
Intercity,2018,50 min,"Action, Thriller",,,Prashast Singh,Prashast Singh,,
Ishq firangi,2018,,Romance,,,Meena Lalit,Ashish Chouhan Bagh,,
Ishq Tera,2018,122 min,"Drama, Romance, Thriller",5.5,12,Jojo D'Souza,Hrishitaa Bhatt,Shahbaaz Khan,Mohit Madaan
Ishqeria,2018,118 min,"Comedy, Romance",4.1,167,Prerna Wadhawan,Manish Anand,Raj Babbar,Richa Chadha
Jaane Kyun De Yaaron,2018,131 min,Drama,4.8,38,Akshay Anand,Muntazir Ahmad,Akshay Anand,Kabir Bedi
Jack & Dil,2018,98 min,"Comedy, Family",7.5,715,Sachin P. Karande,Amit Sadh,Arbaaz Khan,Sonal Chauhan
Jalebi,2018,112 min,"Drama, Romance",6,"2,479",Pushpdeep Bhardwaj,Rhea Chakraborty,Varun Mitra,Digangana Suryavanshi
Jannat E Milan,2018,135 min,Musical,2.8,8,Shekhar Ujjaninwal,Rishabh Vaidya,Shakshi Diwedi,Ajay Azad Singh
Jhakaas!,2018,56 min,"Comedy, Drama",6.1,11,Anirudh Baboo,Mukund Krishna Kumar Nair,Sangeeth Shobhan,Saraswat Mandarapu
Kaala,2018,162 min,"Action, Drama",6.7,"8,163",Pa. Ranjith,Rajinikanth,Nana Patekar,Samuthirakani
Kaalakaandi,2018,112 min,"Comedy, Thriller",6.3,"2,612",Akshat Verma,Saif Ali Khan,Asif Basra,Neil Bhoopalam
Kaashi in Search of Ganga,2018,125 min,Thriller,5.4,259,Dhiraj Kumar,Prince Adhikari,Aishwarya Devan,Kranti Prakash Jha
Kabaddi,2018,140 min,Thriller,,,S.P. Nimbawat,Jai Yadav,Kiran Kumar,Shahbaaz Khan
Kalichaat,2018,70 min,Drama,8,6,Sudhanshu Sharma,Prakash Deshmukh,Virendra Kumar Nathenial,Geetika Shyam
Karim Mohammed,2018,99 min,Drama,4.8,30,Pawan Kumar Sharma,Alka Amin,Veer Gujjar,Rajesh Jais
Karwaan,2018,114 min,"Adventure, Comedy, Drama",7.6,"13,986",Akarsh Khurana,Irrfan Khan,Dulquer Salmaan,Mithila Palkar
Kashmir Daily,2018,148 min,"Drama, Thriller",6.7,23,Hussein Khan,Zameer Ashai,Shahid Gulfam,Hussein Khan
Kathor,2018,110 min,Drama,5.6,10,Karan Kashyap,Lalit Parimoo,Sheetal Dimri,Abhisek Pandey
Kathor,2018,,Drama,,,Karan Kashyap,Lalit Parimoo,Sheetal Dimri,Abhisek Pandey
Kedarnath,2018,116 min,"Drama, Romance",6.9,"11,446",Abhishek Kapoor,Sushant Singh Rajput,Sara Ali Khan,Nitish Bharadwaj
Khajoor Pe Atke,2018,119 min,Comedy,5.6,221,Harsh Chhaya,Vinay Pathak,Suneeta Sengupta,Alka Amin
KHATA-Kaash Humse Na Hoti,2018,100 min,Crime,,,Ajay Shukla,,,
Khejdi,2018,92 min,Drama,8.1,27,Rohit Dwivedi,Priyanka Agarwal,Sahil Bhati,Bertwin Ravi Dsouza
Kill the Rapist?,2018,99 min,Thriller,,,Sanjay Chhel,Sunny Hinduja,Anjali Patil,Sadiya Siddiqui
Killer Highway 21,2018,101 min,Thriller,,,Parveen Dagar,,,
Krina,2018,130 min,Thriller,5.8,6,Shyamal K. Mishra,Parth Singh Chauhan,Tunisha Sharma,Inder Kumar
Kuch Der Aur,2018,65 min,Drama,8.5,41,Anurag Kawatra,Meenu Kawatra,Saajan Kataria,Rajesh Navgain
Kuch Pal Pyar Ke,2018,104 min,Drama,4.3,18,Viral H. Patel,Aamir,Tejas Gadhvi,Aamir Ghani
Kuchh Bheege Alfaaz,2018,116 min,Romance,7.5,820,Onir,Geetanjali Thapa,Zain Khan Durrani,Shray Rai Tiwari
Kumbh,2018,,Drama,,,Anshuman Chaturvedi,Chidaksha Chand,Sushil Pandey,Sukhwinder Chahal
Kutte Ki Dum,2018,143 min,Comedy,8.9,10,Sunil Patel,Raz Rehman Ali,Jass Boparai,Tanya Daang
Kya Tum,2018,,Drama,,,Deepak Kumar,Anchal,Ansh,Aarav Mavi
Laila Majnu,2018,140 min,"Drama, Romance",7.8,"2,701",Sajid Ali,Avinash Tiwary,Tripti Dimri,Sumit Kaul
Lakeeran the Destiny,2018,140 min,Romance,,,Dharam Panesar,Pavan Grover,Mehr Hassan,Kulbhushan Kharbanda
Lalluram,2018,,Drama,,,Amol Dwivedi,Newton Lukka,Ruchi Tiwari,
Lasafot,2018,,,,,Shitiz Srivastava,Muzahid Khan,Deepak Suryavanshi,
Lashtam Pashtam,2018,108 min,Drama,6,77,Manav Bhalla,Dolly Ahluwalia,Priyanshu Chatterjee,Tisca Chopra
Lateef to laden,2018,92 min,Comedy,6.6,7,Shahid Kazmi,Sajad Khaki,Tariq Imtyaz,Mushtaq Ali
Leera the Soulmate,2018,104 min,Sci-Fi,6.3,"1,624",Sumnash Sri Kaljai,Mehul Adwani,Leera Kaljai,
Legends of the wild: Kahani beehad ki,2018,55 min,Documentary,,,Ashish Dubey,Ishan Jacob,,
Life of an Outcast,2018,81 min,Drama,6.6,36,Pawan k Shrivastava,Ravi Sah,Shalini Mohan,Bhaskar Jha
Love Per Square Foot,2018,133 min,"Comedy, Romance",7.2,"7,588",Anand Tiwari,Vicky Kaushal,Angira Dhar,Alankrita Sahai
Love Sonia,2018,122 min,Drama,7.4,"1,570",Tabrez Noorani,Abhishek Bharate,Riya Sisodiya,Mrunal Thakur
Love Trainning,2018,129 min,Comedy,5.8,12,Hemanth Kumar,Shakti Kapoor,Akhilendra Mishra,Usha Nadkarni
Love Will Take Over,2018,140 min,"Comedy, Drama, Music",3,"2,092",Abhiraj Minawala,Sammy Jonas Heaney,Aayush Sharma,Warina Hussain
Lovefucked,2018,106 min,"Drama, Romance",6,365,Aadish Keluskar,Himanshu Kohli,Rohit Kokate,Khushboo Upadhyay
Lupt,2018,110 min,"Horror, Thriller",5.6,"2,027",Prabhuraj,Javed Jaffrey,Niki Walia,Vijay Raaz
Lust Stories,2018,120 min,"Drama, Romance",6.4,"10,011",Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap
Maal Road Dilli,2018,145 min,Comedy,5.7,10,Atul Sriva,Rhythm Arora,Manveer Choudhary,Neha Kargeti
Maassab (The Teacher),2018,116 min,Drama,8.6,155,Aditya Om,Shiva Suryavanshi,Sheetal Singh,Manveer Choudhary
Madhav - Every Child Needs A Mentor,2018,102 min,"Drama, Family",,,Anil Kumar Mehta,Anil Kumar Mehta,Varsha Usgaonkar,Manohar Teli
Mahasangram,2018,108 min,Thriller,,,Avnish Kumar Singh,Rajender Kashyap,Uttar Kumar,Divya Seth Shah
Manto,2018,112 min,"Biography, Drama",7.4,"3,929",Nandita Das,Nawazuddin Siddiqui,Rasika Dugal,Tahir Raj Bhasin
Mard Ko Dard Nahin Hota,2018,134 min,"Action, Comedy",7.4,"6,647",Vasan Bala,Abhimanyu Dasani,Radhika Madan,Mahesh Manjrekar
Mausam Ikrar Ke Do Pal Pyar Ke,2018,130 min,Drama,2.8,10,Partho Ghosh,Mukesh J Bharti,Madalsa Sharma,Manju Bharti
Maut Phir Aayegi,2018,90 min,Horror,,,Agrawal Mukesh Narayan,Vinod Tripathi,Parveer Aggarwal,Neeta Yadav
Medal,2018,96 min,Drama,7.9,7,Ganesh Mehta,Muzahid Khan,Indrisha Basu,Tanushri Basak
Megalopolis,2018,79 min,Mystery,6.6,18,Rohit Mittal,Kuldeep Patil,Naina Sareen,Arjun Radhakrishnan
Mehsampur,2018,99 min,Drama,6.6,41,Kabir Singh Chowdhry,Chamkara,Chamak Chamkila,Lal Chand
Mere Paas Baap Hai,2018,108 min,Comedy,6.1,31,Faisal Simon,Mohit Das,Afsheen Jamal,Shadab Khan
Meri Nimmo,2018,90 min,Drama,7.1,283,Rahul Shanklya,Anjali Patil,Karan Dave,Aryan Mishra
Meri Shaan Hai Vardi,2018,120 min,Drama,,,Raaja Thakur,Sara Khan,Raza Murad,Rajesh Sharma
Midnight Delhi,2018,76 min,"Crime, Drama, Mystery",,,Raakesh Rawat,Mukesh S. Bhatt,Sahdev Raj Singh Hooda,Trushant Ingle
Missing,2018,120 min,"Drama, Mystery, Thriller",5.8,"2,074",Mukul Abhyankar,Manoj Bajpayee,Tabu,Annu Kapoor
Mitron,2018,119 min,Comedy,6.9,"2,334",Nitin Kakkar,Jackky Bhagnani,Kritika Kamra,Prateik
Mitti-back to roots,2018,,Drama,8.3,39,Anshul Sinha,Anumeha Singh,Sandeep Yadav,
Moving Stories,2018,84 min,Documentary,7.9,15,Rob Fruchtman,,,
Mudda hai Bhookh: The War,2018,114 min,Drama,7.2,13,Mahmood Khan,Yash Baba,Utkarsh Bajpayee,Nikhil Bansal
Mulk,2018,140 min,Drama,6.9,"14,156",Anubhav Sinha,Taapsee Pannu,Rishi Kapoor,Neena Gupta
Mungerilal B Tech,2018,,"Action, Comedy, Drama",,,Sanoj Mishra,Vikrant Anand,Chandani,Sonam Mishra
Murder on the Road to Kathmandu,2018,112 min,Mystery,,,Rupalee Verma,Atul Kulkarni,Rupesh Tillu,Taranjit Kaur
Music Garage,2018,,Reality-TV,,,,,,
My Birthday Song,2018,95 min,Thriller,5.5,258,Samir Soni,Nora Fatehi,Elena Kazan,Suparna Moitra
My Dear Wife,2018,126 min,Drama,,,Chandan Kumar,Aakansha Kadre,Meenal Kapoor,Jagat Rawat
My Son: Mera Beta,2018,,Documentary,,,Shreya Kant,Vikas Kailash,Anita Raghvan,
Myrah,2018,134 min,"Drama, Romance",5.7,13,Anil Dhoble,Meera Joshi,Sukanya Surve,Sandeep Sharma
Naaku Manasundhe,2018,,,,,Rajasekhar,,,
Namaste England,2018,141 min,"Comedy, Drama, Romance",2.2,"2,644",Vipul Amrutlal Shah,Parineeti Chopra,Arjun Kapoor,Paul Blackwell
Namdev Bhau,2018,84 min,Adventure,7.4,94,Dar Gai,Arya Dave,Namdev Gurav,Zoya Hussain
Nanhi Si Kali: Betiyaan,2018,,Drama,,,Vijay Pal,Yash Pandit,Harry Josh,Alankrita Bora
Nanu Ki Jaanu,2018,133 min,"Comedy, Drama, Horror",5.9,954,Faraz Haider,Abhay Deol,Patralekhaa Paul,Rajesh Sharma
Nawabzaade,2018,112 min,"Comedy, Romance",4.4,877,Jayesh Pradhan,Dharmesh Yelande,Punit Pathak,Raghav Juyal
Nine Hours in Mumbai,2018,140 min,Thriller,,,Raaj Rahhi,Sanjay Mishra,Adil Hussain,Gauahar Khan
Nirdosh,2018,110 min,"Drama, Mystery, Thriller",3.9,138,Subroto Paul,Pradeep Rangwani,Ashmit Patel,Manjari Fadnnis
No mind,2018,74 min,"Drama, Mystery",,,Chirag Desgiri,Siwani Devkota,Prakhar Singh,
Noblemen,2018,108 min,Drama,5.8,221,Vandana Kataria,Kunal Kapoor,Ali Haji,Mohammed Ali Mir
Number Game,2018,117 min,"Horror, Mystery, Thriller",6.3,10,Sumit Sinha,Aishwaryaa Rajesh,Nakul Choudharry,Rimi
Objection My God,2018,,Comedy,,,Amit Khan,Makrand Deshpande,Sanjay Mishra,Zarina Wahab
October,2018,115 min,"Drama, Romance",7.5,"14,013",Shoojit Sircar,Varun Dhawan,Banita Sandhu,Gitanjali Rao
Ok Mein Dhokhe,2018,,"Drama, Thriller",,,Utpal Chaudhary,Muntazir Ahmad,Chinni Chetan,Sapan Krishna
Once Again,2018,101 min,"Drama, Romance",7,869,Kanwal Sethi,Shefali Shah,Neeraj Kabi,Bidita Bag
One Night Out,2018,129 min,Thriller,7,15,Ravinddra Khare,Kabina Maharjan,Gulshan Pandey,Javed Rizvi
Out of Time,2018,90 min,,,,Arijit Lahiri,Menaka Lalwani,Sahil Phull,Suyesha Sawant
Paak,2018,,Drama,8,23,Sujeet Kumar,Arsh Sandhu,Rajniesh Duggall,Nikitin Dheer
Pad Man,2018,140 min,"Comedy, Drama",7.9,"22,611",R. Balki,Akshay Kumar,Radhika Apte,Sonam Kapoor
Padmaavat,2018,164 min,"Drama, History, Romance",7,"28,573",Sanjay Leela Bhansali,Deepika Padukone,Ranveer Singh,Shahid Kapoor
Page 16,2018,112 min,"Horror, Mystery",3.9,31,Shamshad Pathan,Aseem Ali Khan,Bidita Bag,Kiran Kumar
Painting Life,2018,145 min,Drama,6.3,7,Bijukumar Damodaran,Prakash Bare,Geetanjali Thapa,Ritabhari Chakraborty
Pakhi,2018,100 min,Crime,6.5,8,Sachin Gupta,Anmol Goswami,Sumeet Kant Kaul,Sikander Khan
Paltan,2018,150 min,"Action, Drama, History",5.3,939,J.P. Dutta,Jackie Shroff,Arjun Rampal,Sonu Sood
Panchaali,2018,49 min,Action,5.9,17,Sourabh Bali,Anurag Arora,Sumit Bhot,Rakhi Chauhan Mehta
Pareshaan Parinda,2018,112 min,"Action, Romance",4.8,13,Devesh Pratap Singh,Meeraj Shah,Sakshi Singh,Avtar Singh Bhullar
Pari,2018,136 min,"Fantasy, Horror, Mystery",6.6,"5,900",Prosit Roy,Anushka Sharma,Parambrata Chattopadhyay,Rajat Kapoor
Pariwar ae babu,2018,,Drama,,,Dhananjay Shing,Madhu Singh Rajpoot,Dinesh Tiwari,
Parmanu: The Story of Pokhran,2018,129 min,"Action, Drama, History",7.6,"21,773",Abhishek Sharma,John Abraham,Boman Irani,Diana Penty
Pataakha,2018,134 min,"Action, Comedy, Drama",7.2,"3,824",Vishal Bhardwaj,Sanya Malhotra,Radhika Madan,Sunil Grover
Patna wale dulhaniya le jayenge,2018,,Family,,,Sanja,Kritn Ajitesh,,
Pending love,2018,,Romance,,,Shahid Kazmi,Tariq Imtyaz,Prem Kumar,Pari Choudhury
Phamous,2018,115 min,"Comedy, Crime, Drama",3.8,282,Karan Butani,Jimmy Sheirgill,Shriya Saran,Kay Kay Menon
Phir Se...,2018,118 min,Romance,5.4,206,Ajay Bhuyan,Kunal Kohli,Dalip Tahil,Jennifer Winget
PK Lele a Salesman,2018,135 min,"Comedy, Romance",5.5,11,Manav Sohal,Manav Sohal,Brijendra Kala,Vaishnavi Dhanraj
Play This,2018,110 min,Drama,5.4,22,Sourabh Shrivastav,Harsh Dubey,Mandy Gill,Abhishek Mahendru
Project Papa,2018,97 min,Drama,6.6,27,Kanika Batra,Kanika Batra,Rakesh Batra,Rajit Kapoor
Purdah,2018,71 min,"Documentary, Drama, Sport",8.1,276,Jeremy Guy,,,
Purush- Freedom of Choice,2018,,Comedy,,,Tarun Datta,Raja Chaudhary,Sachin Datta,Tarun Datta
Pyar Se Bolo Devaa,2018,112 min,"Drama, Romance",,,Tiger Yd Yadav,Aisha,Devaa,Bablu Rai
Raazi,2018,138 min,"Action, Drama, Thriller",7.8,"26,557",Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor
Race 3,2018,160 min,"Action, Crime, Thriller",1.9,"42,457",Remo D'Souza,Anil Kapoor,Salman Khan,Bobby Deol
Racket,2018,122 min,Drama,7.3,17,Rahul Rajan,Rahul Ranjan,Suman Jain,Vaishnavi Karmarkar
Raid,2018,122 min,"Action, Crime, Drama",7.4,"15,835",Raj Kumar Gupta,Ajay Devgn,Ileana D'Cruz,Amit Bimrot
Raja Abroadiya,2018,117 min,Romance,4.3,22,Lakhwinder Shabla,Robin Sohi,Vaishnavi Patwardhan,Alankrita Bora
Rajma Chawal,2018,117 min,"Comedy, Drama, Family",5.8,"1,698",Leena Yadav,Amyra Dastur,Rishi Kapoor,Sheeba Chaddha
Ramanujan (The Man who reshaped 20th Century Mathematics),2018,,Documentary,,,Akashdeep,Akashdeep Pandey,Krishna Kumar Anant,Rphan Jadhav
Rashtraputra,2018,122 min,"Action, Biography, Drama",5.7,23,Megastar Maharishi Aazaad,Megastar Maharishi Aazaad,Rakesh Bedi,Abhay Bhargava
